央视频道,#genre#
CCTV1,http://jiexi.bulisite.top/ysp.php?id=cctv1
CCTV2,http://jiexi.bulisite.top/ysp.php?id=cctv2
CCTV3,http://jiexi.bulisite.top/ysp.php?id=cctv3
CCTV4,http://jiexi.bulisite.top/ysp.php?id=cctv4
CCTV5,http://jiexi.bulisite.top/ysp.php?id=cctv5
CCTV5+,http://jiexi.bulisite.top/ysp.php?id=cctv5p
CCTV6,http://jiexi.bulisite.top/ysp.php?id=cctv6
CCTV7,http://jiexi.bulisite.top/ysp.php?id=cctv7
CCTV8,http://jiexi.bulisite.top/ysp.php?id=cctv8
CCTV9,http://jiexi.bulisite.top/ysp.php?id=cctv9
CCTV10,http://jiexi.bulisite.top/ysp.php?id=cctv10
CCTV11,http://jiexi.bulisite.top/ysp.php?id=cctv11
CCTV12,http://jiexi.bulisite.top/ysp.php?id=cctv12
CCTV13,http://jiexi.bulisite.top/ysp.php?id=cctv13
CCTV14,http://jiexi.bulisite.top/ysp.php?id=cctv14
CCTV15,http://jiexi.bulisite.top/ysp.php?id=cctv15
CCTV-17,http://jiexi.bulisite.top/ysp.php?id=cctv17

卫视频道,#genre#
湖南卫视,http://jiexi.bulisite.top/ysp.php?id=hnwshd
浙江卫视,http://jiexi.bulisite.top/ysp.php?id=zjws
江苏卫视,http://jiexi.bulisite.top/ysp.php?id=jsws
北京卫视,http://jiexi.bulisite.top/ysp.php?id=bjws
东方卫视,http://jiexi.bulisite.top/ysp.php?id=dfws
广东卫视,http://jiexi.bulisite.top/ysp.php?id=gdws
深圳卫视,http://jiexi.bulisite.top/ysp.php?id=szws
河南卫视,http://jiexi.bulisite.top/ysp.php?id=hnws
山东卫视,http://jiexi.bulisite.top/ysp.php?id=sdws
湖北卫视,http://jiexi.bulisite.top/ysp.php?id=hbwshd
安徽卫视,http://jiexi.bulisite.top/ysp.php?id=ahws
东南卫视,http://jiexi.bulisite.top/ysp.php?id=dnws
江西卫视,http://jiexi.bulisite.top/ysp.php?id=jxws
四川卫视,http://jiexi.bulisite.top/ysp.php?id=scws
贵州卫视,http://jiexi.bulisite.top/ysp.php?id=gzws
重庆卫视,http://jiexi.bulisite.top/ysp.php?id=cqws
海南卫视,http://jiexi.bulisite.top/ysp.php?id=hanws
河北卫视,http://jiexi.bulisite.top/ysp.php?id=hebws
河南卫视,http://jiexi.bulisite.top/ysp.php?id=henws
辽宁卫视,http://jiexi.bulisite.top/ysp.php?id=ljws
黑龙江卫视,http://jiexi.bulisite.top/ysp.php?id=hljws
广西卫视,http://jiexi.bulisite.top/ysp.php?id=gxws
吉林卫视,http://jiexi.bulisite.top/ysp.php?id=jlws
宁夏卫视,http://jiexi.bulisite.top/ysp.php?id=nxws
陕西卫视,http://jiexi.bulisite.top/ysp.php?id=sxws
甘肃卫视,http://jiexi.bulisite.top/ysp.php?id=gsws
青海卫视,http://jiexi.bulisite.top/ysp.php?id=qhws
天津卫视,http://jiexi.bulisite.top/ysp.php?id=tjws
